id,name,mouse_id,genotype,comments
1,Slc2,409828,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94,Col.1 Vol.5 and Col.2 Vol. 1 failed pre-processing
2,Teto1,416296,TetO-GCaMP6s;Camk2a-tTA,Col.1 Vol.2 and Col.2 Vol. 1 failed pre-processing
3,Slc4,438833,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94,All volumes included
4,Slc5,427836,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai94,Col.2 Vol.5 failed pre-processing
